
384.92	136.26	379.24	233.32	223.72	408.62	358.53	172.65
326.96	164.54	202.32	200.4	248.15	328.08	327.32	194.14
358.92	233.83	227.05	178.12	257.22	314.74	411.06	242.18
282.7	337.49	328.24	222.69	331.5	339.06	356.32	270.09
253.02	224.64	365.2	271.73	286.29	381.26	380.91	337.9
242.03	248.17	305.91	253.87	271.03	381.26	338.07	383.18
313.71	298.58	286.8	210.04	312.96	381.26	364.14	427.89
293.9	339.61	365.07	149.83	313.83	381.26	410.57	238.92
266.6	363.69	326.8	147.71	381.26	363.33	321.8	319.54
336.21	383.21	323.78	291.24	335.86	381.26	407.46	385.05
269.62	383.35	220.91	327.92	320.24	273.57	375.23	366.93
295.57	363.69	323.43	312.48	300.78	310.22	326.51	328.07
196.34	361.27	300.19	299.29	197.62	345.38	330.39	341.47
296.73	347.77	279.2	274.68	294.06	372.73	312.01	229.92
138.01	312.4	255.27	162.08	324.71	320.75	302.71	220.4
226.78	317.47	384.92	303.24	269.19	244.66	350.77	320.06
285.54	427.89	287.61	306.18	285.55	300.44	411.06	322.62
242.11	298.6	313.52	308.24	228.32	341.78	375.13	208.15
334.28	283.78	337.74	368.06	356.29	325.37	408.62	380.76
255.5	285.07	241.32	345.55	221.28	317.61	376.14	320.74
233.4	331.73	218.84	339.76	250.83	351.47	400.88	233.98
271.68	222.18	378.97	257.2	369.66	342.49	359.67	264.99
359.75	354.25	272.24	364.83	236.45	285.1	436.76	306.88
291.66	159.36	288.52	323.33	203.65	307.11	427.89	316.77
368.32	349.01	259.12	336.24	341.91	340.42	352.87	282.41
